,SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,TAXON_ORDER,TAXON_GROUP,COM_NAME_CODES,SCI_NAME_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,FAMILY_CODE,EXTINCT,ebird_idx,inat_id,preferred_common_name,matched_term,name,photo_url,wikipedia_url
1540,Patagona gigas,Giant Hummingbird,giahum1,4693,Hummingbirds,GIHU,PAGI,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1579,6255,Giant Hummingbird,Patagona gigas,Patagona gigas,https://static.inaturalist.org/photos/255939962/medium.jpg,https://en.wikipedia.org/wiki/Giant_hummingbird
1541,Sternoclyta cyanopectus,Violet-chested Hummingbird,vichum2,4696,Hummingbirds,VCHU,STCY,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1580,6405,Violet-chested Hummingbird,Sternoclyta cyanopectus,Sternoclyta cyanopectus,https://inaturalist-open-data.s3.amazonaws.com/photos/59125632/medium.jpg,http://en.wikipedia.org/wiki/Violet-chested_hummingbird
1542,Hylonympha macrocerca,Scissor-tailed Hummingbird,scthum1,4697,Hummingbirds,STHU,HYMA,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1581,6514,Scissor-tailed Hummingbird,Hylonympha macrocerca,Hylonympha macrocerca,https://inaturalist-open-data.s3.amazonaws.com/photos/11509853/medium.jpg,http://en.wikipedia.org/wiki/Scissor-tailed_hummingbird
1543,Eugenes fulgens,Rivoli's Hummingbird,maghum1,4698,Hummingbirds,MAHU,EUFU,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1582,559084,Rivoli's Hummingbird,Eugenes fulgens,Eugenes fulgens,https://static.inaturalist.org/photos/6979112/medium.jpeg,http://en.wikipedia.org/wiki/Rivoli's_hummingbird
1544,Eugenes spectabilis,Talamanca Hummingbird,maghum2,4699,Hummingbirds,MAHU,EUSP,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1583,558478,Talamanca Hummingbird,Eugenes spectabilis,Eugenes spectabilis,https://inaturalist-open-data.s3.amazonaws.com/photos/35570537/medium.jpg,http://en.wikipedia.org/wiki/Admirable_hummingbird
1545,Heliomaster longirostris,Long-billed Starthroat,lobsta1,4700,Hummingbirds,,HELO,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1584,5869,Long-billed Starthroat,Heliomaster longirostris,Heliomaster longirostris,https://inaturalist-open-data.s3.amazonaws.com/photos/64906357/medium.jpg,http://en.wikipedia.org/wiki/Long-billed_starthroat
1546,Heliomaster constantii,Plain-capped Starthroat,plcsta,4704,Hummingbirds,,HECO,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1585,5873,Plain-capped Starthroat,Heliomaster constantii,Heliomaster constantii,https://inaturalist-open-data.s3.amazonaws.com/photos/480376/medium.jpg,http://en.wikipedia.org/wiki/Plain-capped_starthroat
1547,Heliomaster squamosus,Stripe-breasted Starthroat,stbsta1,4709,Hummingbirds,SBST,HESQ,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1586,5877,Stripe-breasted Starthroat,Heliomaster squamosus,Heliomaster squamosus,https://inaturalist-open-data.s3.amazonaws.com/photos/399876/medium.jpg,http://en.wikipedia.org/wiki/Stripe-breasted_starthroat
1548,Heliomaster furcifer,Blue-tufted Starthroat,bltsta2,4710,Hummingbirds,BTST,HEFU,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1587,5868,Blue-tufted Starthroat,Heliomaster furcifer,Heliomaster furcifer,https://inaturalist-open-data.s3.amazonaws.com/photos/114190064/medium.jpg,http://en.wikipedia.org/wiki/Blue-tufted_starthroat
1549,Panterpe insignis,Fiery-throated Hummingbird,fithum1,4711,Hummingbirds,,PAIN,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1588,6134,Fiery-throated Hummingbird,Panterpe insignis,Panterpe insignis,https://inaturalist-open-data.s3.amazonaws.com/photos/147535775/medium.jpg,http://en.wikipedia.org/wiki/Fiery-throated_hummingbird
1550,Lampornis viridipallens,Green-throated Mountain-gem,gtmgem1,4714,Hummingbirds,GTMO,LAVI,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1589,5834,Green-throated Mountain-gem,Lampornis viridipallens,Lampornis viridipallens,https://inaturalist-open-data.s3.amazonaws.com/photos/28102454/medium.jpeg,http://en.wikipedia.org/wiki/Green-throated_mountaingem
1551,Lampornis sybillae,Green-breasted Mountain-gem,gbmgem1,4719,Hummingbirds,GBMO,LASY,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1590,5839,Green-breasted Mountain-gem,Lampornis sybillae,Lampornis sybillae,https://inaturalist-open-data.s3.amazonaws.com/photos/13993958/medium.jpeg,http://en.wikipedia.org/wiki/Green-breasted_mountaingem
1552,Lampornis amethystinus,Amethyst-throated Mountain-gem,amthum1,4720,Hummingbirds,ATHU ATMO,LAAM,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1591,5821,Amethyst-throated Mountain-gem,Lampornis amethystinus,Lampornis amethystinus,https://inaturalist-open-data.s3.amazonaws.com/photos/94533770/medium.jpg,http://en.wikipedia.org/wiki/Amethyst-throated_mountaingem
1553,Lampornis clemenciae,Blue-throated Mountain-gem,buthum,4727,Hummingbirds,BTHU BTMO,LACL,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1592,5827,Blue-throated Mountain-gem,Lampornis clemenciae,Lampornis clemenciae,https://inaturalist-open-data.s3.amazonaws.com/photos/190197/medium.jpg,http://en.wikipedia.org/wiki/Blue-throated_mountaingem
1554,Lampornis hemileucus,White-bellied Mountain-gem,wbmgem1,4731,Hummingbirds,WBMO,LAHE,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1593,5844,White-bellied Mountain-gem,Lampornis hemileucus,Lampornis hemileucus,https://inaturalist-open-data.s3.amazonaws.com/photos/399544/medium.jpg,http://en.wikipedia.org/wiki/White-bellied_mountaingem
